Time,Data
2024-04-20 17:01:57,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:57,license Plate is detected. tracker_id: 1
2024-04-20 17:01:57,Vulnerable 6's image and bbox are updated.
2024-04-20 17:01:58,license Plate is detected. tracker_id: 6
2024-04-20 17:01:58,Vulnerable 13's image and bbox are updated.
2024-04-20 17:01:58,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:58,license Plate is detected. tracker_id: 1
2024-04-20 17:01:58,Vulnerable 13's image and bbox are updated.
2024-04-20 17:01:58,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:59,license Plate is detected. tracker_id: 1
2024-04-20 17:01:59,Vulnerable 1's image and bbox are updated.
2024-04-20 17:01:59,license Plate is detected. tracker_id: 1
2024-04-20 17:01:59,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:00,license Plate is detected. tracker_id: 1
2024-04-20 17:02:00,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:00,license Plate is detected. tracker_id: 1
2024-04-20 17:02:00,A Vulnerable is detected. tracker_id: 14.
2024-04-20 17:02:00,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:00,license Plate is detected. tracker_id: 6
2024-04-20 17:02:01,Vulnerable 14's image and bbox are updated.
2024-04-20 17:02:01,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:01,license Plate is detected. tracker_id: 6
2024-04-20 17:02:01,"license Code has been read: 
6 : sel "
2024-04-20 17:02:01,Vulnerable 14's image and bbox are updated.
2024-04-20 17:02:01,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:01,license Plate is detected. tracker_id: 6
2024-04-20 17:02:02,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:02,license Plate is detected. tracker_id: 6
2024-04-20 17:02:02,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:02,license Plate is detected. tracker_id: 1
2024-04-20 17:02:02,"license Code has been read: 
1 : sel "
2024-04-20 17:02:02,license Plate is detected. tracker_id: 1
2024-04-20 17:02:03,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:03,license Plate is detected. tracker_id: 1
2024-04-20 17:02:03,"license Code has been read: 
1 : sel "
2024-04-20 17:02:03,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:04,license Plate is detected. tracker_id: 1
2024-04-20 17:02:04,"license Code has been read: 
1 : sel "
2024-04-20 17:02:04,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:04,license Plate is detected. tracker_id: 1
2024-04-20 17:02:04,"license Code has been read: 
1 : sel "
2024-04-20 17:02:04,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:04,license Plate is detected. tracker_id: 6
2024-04-20 17:02:04,"license Code has been read: 
6 : sel "
2024-04-20 17:02:05,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:05,license Plate is detected. tracker_id: 1
2024-04-20 17:02:05,"license Code has been read: 
1 : sel "
2024-04-20 17:02:05,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:06,license Plate is detected. tracker_id: 1
2024-04-20 17:02:06,"license Code has been read: 
1 : sel "
2024-04-20 17:02:06,Vulnerable 6's image and bbox are updated.
2024-04-20 17:02:06,license Plate is detected. tracker_id: 6
2024-04-20 17:02:06,"license Code has been read: 
6 : sel "
2024-04-20 17:02:06,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:07,license Plate is detected. tracker_id: 1
2024-04-20 17:02:07,"license Code has been read: 
1 : sel "
2024-04-20 17:02:07,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:07,license Plate is detected. tracker_id: 1
2024-04-20 17:02:07,"license Code has been read: 
1 : sel "
2024-04-20 17:02:07,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:08,license Plate is detected. tracker_id: 1
2024-04-20 17:02:08,"license Code has been read: 
1 : sel "
2024-04-20 17:02:08,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:08,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:09,license Plate is detected. tracker_id: 1
2024-04-20 17:02:09,"license Code has been read: 
1 : sel "
2024-04-20 17:02:09,Vulnerable 1's image and bbox are updated.
2024-04-20 17:02:09,license Plate is detected. tracker_id: 1
2024-04-20 17:02:09,"license Code has been read: 
1 : sel "
2024-04-20 17:02:09,Vulnerable 1's image and bbox are updated.
